geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
eu27	95.7 f	95.7 f	96.0 f	96.1 	95.9 	95.8 	95.6 	95.4 	95.3 	95.2 	95.2 	: 	: 	: 
eu25	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
eu15	106.8 f	107.1 f	107.8 f	108.2 	108.6 	108.9 	109.2 	109.5 	109.6 	109.9 	110.1 	110.2 	110.4 	110.8 
ea	104.7 f	104.9 f	105.8 f	106.2 	106.6 	107.5 	107.9 	108.7 	110.4 	110.8 	111.0 	111.0 	111.8 	112.5 
ea13	104.7 f	104.9 f	105.6 f	106.1 	106.5 	107.3 	107.7 	108.5 	108.8 	109.2 	109.4 	109.4 	110.1 	110.8 
ea12	104.8 f	105.0 f	105.8 f	106.2 	106.6 	107.5 	107.9 	108.7 	109.1 	109.4 	109.6 	109.7 	110.4 	111.1 
be	116.3 f	116.8 f	117.8 f	118.0 	119.4 	118.9 	117.6 	117.2 	116.5 	115.3 	116.4 	117.6 	118.8 	121.3 
bg	37.7 f	36.2 f	35.0 f	33.7 	32.4 	31.1 	28.4 	28.1 	26.5 	26.0 	26.0 e	25.6 e	27.6 e	30.8 e
cz	79.0 f	77.2 f	75.9 f	73.6 	72.1 	70.7 	67.7 	65.8 	64.7 	65.9 	66.8 e	69.2 e	71.5 e	68.8 e
dk	120.1 f	120.9 f	122.1 f	121.8 	119.4 	119.3 	121.4 	124.9 	126.0 	126.0 	123.7 	124.9 	124.6 	123.8 
de	109.7 f	109.7 f	110.2 f	110.0 	111.1 	112.5 	108.5 	109.9 	111.7 	113.4 	114.7 	116.4 	118.9 	120.3 
ee	72.8 f	68.8 f	65.0 f	59.8 	53.4 	51.2 	46.8 	43.7 	42.1 	38.7 	39.3 e	38.4 e	35.0 e	33.6 e
ie	139.3 f	139.5 f	139.8 f	138.8 	135.7 	134.4 	132.3 	128.5 	126.1 	121.8 	116.8 	112.3 	103.0 	98.5 
gr	86.3 f	85.5 f	85.2 f	84.0 	81.4 	80.2 	77.2 	73.2 	72.7 	70.7 	70.6 	70.9 	70.3 	70.8 
es	97.6 f	97.3 f	97.6 f	97.9 	96.6 	96.7 	95.2 	93.2 	92.1 	92.1 	89.0 	87.5 	87.6 	87.4 
fr	105.0 f	105.7 f	106.8 f	108.1 	107.7 	107.7 	112.0 	113.8 	113.3 	113.4 	114.4 	114.2 	113.6 	114.4 
it	97.4 f	98.2 f	99.5 f	100.7 	103.1 	106.0 	110.0 	111.9 	113.1 	113.7 	115.1 	114.6 	116.4 	117.2 
cy	86.8 f	87.3 f	88.4 f	88.9 	87.6 	85.2 	82.6 	84.4 	82.2 	81.4 	80.7 e	79.6 e	81.3 e	82.1 e
lv	60.3 f	57.0 f	53.3 f	48.6 	43.7 	41.2 	38.7 	37.1 	35.3 	34.0 	33.9 e	33.0 e	30.9 e	29.9 e
lt	59.5 f	57.3 f	54.8 f	52.1 	49.0 	47.1 	41.9 	40.1 	37.9 	37.4 	38.8 e	37.2 e	35.4 e	34.2 e
lu	262.7 f	259.4 f	257.0 f	251.0 	240.8 	236.7 	220.7 	214.6 	222.0 	217.6 	194.3 	192.3 	198.0 	200.7 
hu	63.3 f	63.1 f	63.4 f	62.5 	61.3 	60.8 	59.1 	56.9 	53.9 	51.7 	50.9 e	49.8 e	48.8 e	48.9 e
mt	70.4 f	70.8 f	71.5 f	71.7 	72.1 	74.3 	74.9 	73.8 	78.0 	77.1 	77.8 	: 	: 	: 
nl	125.2 f	125.2 f	125.6 f	125.5 	124.6 	123.8 	125.3 	127.0 	124.0 	122.6 	122.0 	121.9 	120.0 	119.3 
at	122.0 f	122.4 f	123.0 f	122.9 	123.4 	123.4 	120.0 	122.0 	125.5 	124.9 	123.5 	124.5 	127.3 	126.8 
pl	54.5 f	52.9 f	51.3 f	49.7 	48.7 	46.9 	46.3 	46.1 	46.7 	46.3 	45.6 e	44.6 e	42.8 e	41.0 e
pt	68.8 f	69.3 f	70.4 f	71.7 	72.1 	73.5 b	79.5 	79.8 	80.3 	80.3 	78.2 	76.6 	75.4 	75.6 
ro	38.9 f	37.3 f	35.9 f	34.2 	32.6 	29.9 	28.1 	26.2 	24.9 	25.3 	: 	: 	: 	: 
si	85.6 f	84.5 f	83.6 f	81.9 	79.9 	77.4 	74.5 	73.9 	72.7 	73.6 	71.9 e	71.0 e	69.5 e	68.2 e
sk	65.8 f	63.4 f	60.2 f	57.1 	54.4 	52.8 	51.0 	48.7 	47.4 	46.9 	47.6 e	47.4 e	47.0 e	44.7 e
fi	113.1 f	113.0 f	113.1 f	110.5 	111.1 	108.6 	114.7 	115.5 	114.0 	112.4 	112.6 	109.5 	104.6 	104.6 
se	117.2 f	116.5 f	116.1 f	114.7 	115.4 	115.4 	113.7 	115.2 	118.8 	117.7 	114.1 	115.3 	116.5 	117.3 
uk	116.0 f	116.4 f	117.2 f	117.6 	118.0 	116.1 	116.1 	113.1 	111.8 	111.4 	111.8 	112.0 	109.8 	108.5 
hr	51.4 f	50.3 f	49.5 f	48.5 f	47.0 f	45.6 e	43.6 e	41.4 e	40.8 e	39.6 e	41.7 e	40.9 e	39.4 e	36.6 e
mk	27.0 f	26.3 f	26.0 f	25.9 f	24.9 	24.5 	23.9 	24.0 	25.6 	25.5 	25.3 	25.3 	: 	: 
tr	28.6 f	28.1 f	28.1 f	27.6 	26.8 	26.2 	26.1 	25.6 	29.8 	29.2 	31.9 e	32.3 e	30.8 e	29.8 e
is	121.8 f	123.0 f	126.8 f	130.5 	125.0 	120.8 	122.7 	127.3 	127.5 	130.4 	130.4 	127.5 	126.3 	123.2 
no	171.2 f	171.1 f	171.1 f	172.1 	157.9 	150.3 	147.9 	156.2 	159.9 	140.3 	132.4 	140.5 	138.4 	131.1 
ch	123.4 f	124.7 f	126.7 f	127.4 f	129.1 f	129.8 f	130.0 	128.3 	132.7 	133.7 	138.5 	139.4 	137.6 	143.6 
us	145.8 f	146.8 f	149.5 f	149.9 	147.9 	146.3 	145.4 	148.4 	152.0 	154.1 	153.3 	152.8 	151.9 	150.6 
jp	108.7 f	109.0 f	109.6 f	110.0 	108.9 	107.8 	107.5 	109.5 	111.8 	112.6 	115.7 	121.5 	122.6 	121.4 
ca	116.8 f	123.4 f	124.4 f	125.3 f	126.9 f	127.4 f	127.4 f	125.5 f	126.8 f	126.1 	122.9 	122.1 	121.3 	122.5 
