geo\time	2006 	2005 	2004 	2003 	2002 
eu27	49 	: 	: 	: 	: 
eu25	51 	48 	42 	: 	: 
eu15	54 	53 	45 	43 	39 
ea	51 	50 	43 	40 	36 
be	54 	50 	: 	: 	: 
bg	17 	: 	10 	: 	: 
cz	29 	19 	19 	15 	: 
dk	79 	75 	69 	64 	56 
de	67 	62 	60 	54 	46 
ee	46 	39 	31 	: 	: 
ie	50 	47 	40 	36 	: 
gr	23 	22 	17 	16 	12 
es	39 	36 	34 	28 	: 
fr	41 	: 	34 	31 	23 
it	40 	39 	34 	32 	34 
cy	37 	32 	53 	29 	24 
lv	42 	31 	15 	: 	3 
lt	35 	16 	12 	6 	4 
lu	70 	65 	59 	45 	40 
hu	32 	22 	14 	: 	: 
mt	53 	: 	: 	: 	: 
nl	80 	78 	: 	61 	58 
at	52 	47 	45 	37 	33 
pl	36 	30 	26 	14 	11 
pt	35 	31 	26 	22 	15 
ro	14 	: 	6 	: 	: 
si	54 	48 	47 	: 	: 
sk	27 	23 	23 	: 	: 
fi	65 	54 	51 	47 	44 
se	77 	73 	: 	: 	: 
uk	63 	60 	56 	55 	50 
mk	14 	: 	11 	: 	: 
tr	: 	8 	7 	: 	: 
is	83 	84 	81 	: 	: 
no	69 	64 	60 	60 	: 
us	: 	: 	: 	55 	: 
jp	: 	57 	56 	54 	49 
ca	: 	61 	60 	55 	51 
