geo\time	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 
eu27	7.9 	8.7 	9.0 	9.0 	8.8 	8.4 	8.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
eu25	7.9 	8.7 	9.0 	9.0 	8.7 	8.4 	8.6 	9.0 	9.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
eu15	7.4 	7.9 	8.0 	7.9 	7.5 	7.2 	7.6 	8.5 	9.2 	9.8 	10.1 	10.0 	10.4 	10.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ea	7.9 	8.6 	8.8 	8.7 	8.2 	7.8 	8.1 	9.0 	10.0 	10.6 	10.7 	10.5 	10.8 	10.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ea13	7.9 	8.6 	8.8 	8.7 	8.2 	7.8 	8.2 	9.1 	10.0 	10.5 	10.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ea12	7.9 	8.6 	8.8 	8.7 	8.2 	7.8 	8.2 	9.1 	10.0 	10.5 	10.6 	10.4 	10.7 	10.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
be	8.2 	8.4 	8.4 	8.2 	7.5 	6.6 	6.9 	8.5 	9.3 	9.2 	9.5 	9.7 	9.8 	8.6 	7.1 	6.4 	6.6 	7.4 	8.8 	9.8 	10.0 	10.1 	10.8 	10.7 
bg	9.0 	10.1 	12.0 	13.7 	18.1 	19.5 	16.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
cz	7.1 	7.9 	8.3 	7.8 	7.3 	8.0 	8.7 	8.6 	6.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
dk	3.9 	4.8 	5.5 	5.4 	4.6 	4.5 	4.3 	5.2 	4.9 	5.2 	6.3 	6.7 	7.7 	9.6 	8.6 	7.9 	7.2 	6.8 	5.7 	5.0 	5.0 	6.7 	7.9 	8.4 
de	8.4 	9.5 	9.5 	9.0 	8.2 	7.4 	7.2 	7.9 	8.8 	9.1 	8.5 	8.0 	8.3 	7.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ee	5.9 	7.9 	9.7 	10.0 	10.3 	12.4 	12.8 	11.3 	9.2 	9.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ie	4.4 	4.3 	4.5 	4.7 	4.5 	4.0 	4.2 	5.7 	7.5 	9.9 	11.7 	12.3 	14.3 	15.6 	15.4 	14.7 	13.4 	14.7 	16.2 	16.6 	16.8 	16.8 	15.5 	13.9 
gr	8.9 	9.8 	10.5 	9.7 	10.3 	10.7 	11.2 	12.0 	10.8 	9.8 	9.6 	9.2 	8.9 	8.6 	7.9 	7.1 	6.4 	6.7 	6.8 	6.7 	6.6 	7.0 	7.2 	7.1 
es	8.5 	9.2 	10.6 	11.1 	11.1 	10.3 	11.1 	12.5 	15.0 	16.7 	17.8 	18.4 	19.5 	18.3 	14.7 	13.0 	13.0 	13.9 	15.8 	16.8 	: 	: 	: 	: 
fr	9.4 	9.7 	9.6 	9.4 	8.7 	8.4 	9.1 	10.5 	11.1 	11.5 	11.6 	11.1 	11.7 	11.1 	9.9 	9.0 	8.5 	8.9 	9.4 	9.9 	9.8 	9.6 	9.2 	7.7 
it	6.8 	7.7 	8.0 	8.4 	8.6 	9.1 	10.1 	10.9 	11.3 	11.3 	11.2 	11.2 	10.6 	9.8 	8.8 	8.5 	8.9 	9.7 	9.7 	9.6 	8.9 	8.2 	7.9 	7.4 
cy	4.7 	5.2 	4.6 	4.1 	3.6 	3.8 	4.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
lv	6.8 	8.9 	10.4 	10.5 	12.2 	12.9 	13.7 	14.0 	14.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
lt	5.6 	8.3 	11.4 	12.4 	13.5 	16.5 	16.4 	13.7 	13.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
lu	4.7 	4.5 	5.1 	3.7 	2.7 	2.0 	2.3 	2.4 	2.7 	2.7 	2.9 	2.9 	3.2 	2.6 	2.1 	1.6 	1.7 	1.8 	2.0 	2.5 	2.6 	2.9 	3.0 	3.4 
