geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
eu27	10529350.6 	10040592.5 	9881509.2 	9524862.9 	9149946.0 	8531954.7 	8120417.0 	7750292.2 	7345560.9 	6984381.4 
ea13	7775004.9 	7480456.8 	7270491.1 	7025780.6 	6733086.0 	6395406.0 	6117363.3 	5889314.7 	5759888.6 	5528793.2 
ea11	7580355.5 	7300053.4 	7103309.9 	6870657.6 	6586380.4 	6257404.7 	5989592.6 	5764812.8 	5645786.8 	5423379.6 
be	289508.5 	274657.8 	267652.4 	258883.4 	251741.0 	238248.4 	227984.8 	220129.4 	217001.1 	217418.8 
be10	55603.7 	52933.1 	51968.4 	49679.1 	47934.6 	45202.8 	43030.1 	41415.1 	41551.8 	41431.3 
be21	53977.1 	50979.7 	49862.3 	47830.0 	47330.8 	44466.7 	42293.7 	42234.4 	41132.0 	41068.9 
be22	18305.5 	17904.3 	17355.9 	16821.3 	16371.8 	15408.0 	14914.6 	14145.0 	13776.8 	14161.5 
be23	34104.0 	32277.3 	31206.4 	29858.3 	29029.2 	27489.0 	26635.9 	25779.9 	25150.1 	25185.7 
be24	30052.6 	28130.6 	27095.1 	26943.3 	25557.6 	24424.2 	22896.5 	21515.2 	20963.9 	20886.4 
be25	29407.7 	28079.9 	27450.8 	26745.5 	26031.4 	24786.9 	23545.5 	22524.6 	22196.8 	22333.0 
be31	9696.6 	8922.0 	8717.9 	8301.3 	7921.9 	7227.3 	6812.1 	6407.2 	6198.3 	6211.4 
be32	23403.2 	22372.0 	21699.8 	21303.5 	20824.1 	19908.6 	19231.3 	18511.5 	18775.9 	18899.7 
be33	21265.5 	20142.2 	19734.7 	19299.1 	18897.2 	18129.7 	17853.7 	17266.4 	17012.6 	17086.2 
be34	4898.2 	4572.5 	4500.5 	4320.3 	4287.7 	4070.4 	3942.3 	3786.1 	3736.2 	3751.6 
be35	8794.4 	8344.1 	8060.7 	7781.8 	7554.8 	7134.9 	6829.2 	6544.1 	6506.7 	6403.0 
bg	19595.2 	17725.3 	16588.9 	15249.6 	13704.3 	12163.9 	11386.3 	9218.7 	7913.8 	10018.9 
bg31	1909.3 	1862.3 	1812.2 	1774.0 	1649.7 	1326.8 	1296.7 	940.9 	880.7 	1115.0 
bg32	1931.2 	1794.2 	1780.8 	1627.3 	1470.8 	1288.1 	1237.7 	977.0 	847.7 	1073.2 
bg33	2232.1 	2017.9 	1865.1 	1761.6 	1631.9 	1390.7 	1368.6 	1116.3 	927.9 	1174.7 
bg34	2591.1 	2393.4 	2220.6 	2144.8 	2120.8 	1956.5 	1925.9 	1715.0 	1140.4 	1443.8 
bg41	7867.0 	6905.8 	6420.8 	5589.1 	4700.2 	4319.8 	3730.8 	2863.2 	2757.6 	3491.2 
bg42	3064.5 	2751.8 	2489.5 	2352.7 	2130.9 	1882.1 	1826.7 	1606.3 	1359.5 	1721.1 
cz	87205.2 	80924.1 	80003.6 	69044.7 	61495.2 	56414.6 	55382.9 	50405.7 	48851.5 	42267.8 
cz01	20830.4 	19348.4 	19039.1 	16264.4 	14144.5 	12756.4 	12181.3 	10487.3 	9744.9 	8463.7 
cz02	9040.2 	8467.2 	8419.7 	7052.8 	6270.6 	5689.3 	5383.5 	4719.4 	4512.1 	3911.7 
cz03	9283.8 	8496.9 	8368.5 	7313.8 	6544.0 	6019.1 	5960.0 	5506.5 	5399.8 	4601.9 
cz04	7755.3 	7289.5 	7036.4 	6028.5 	5563.5 	5241.1 	5263.1 	4903.0 	4982.1 	4369.4 
cz05	10696.6 	10053.5 	10167.8 	8858.3 	8021.5 	7314.3 	7229.1 	6691.3 	6401.3 	5582.9 
cz06	12539.2 	11793.0 	11633.5 	10145.6 	8901.8 	8175.8 	8081.3 	7375.8 	7311.5 	6307.8 
cz07	8326.9 	7745.8 	7725.6 	6711.4 	6069.8 	5586.7 	5577.8 	5276.6 	5068.5 	4425.1 
cz08	8732.8 	7730.0 	7613.0 	6669.7 	5979.4 	5631.9 	5706.9 	5445.8 	5431.1 	4605.3 
dk	196158.4 	188500.3 	184743.6 	179226.1 	173597.9 	163199.9 	155163.1 	150414.1 	145324.0 	139129.2 
dk00	196158.4 	188500.3 	184743.6 	179226.1 	173597.9 	163199.9 	155163.1 	150414.1 	145324.0 	139129.2 
de	2207200.0 p	2161500.0 	2143180.0 	2113160.0 	2062500.0 	2012000.0 	1952107.1 	1907246.2 	1921660.5 	1929422.0 
de11	130266.3 p	128453.5 	126368.4 	125632.5 	119877.0 	117334.1 	113190.9 	110463.9 	109675.3 	110120.3 
de12	84521.9 p	82487.2 	81507.3 	79884.1 	77069.0 	75467.5 	72575.7 	70715.3 	72615.9 	71961.6 
de13	57762.3 p	56753.7 	56448.5 	55602.4 	54003.9 	51622.8 	49695.8 	47814.5 	48530.2 	48344.1 
de14	49950.2 p	49016.1 	48933.6 	48145.1 	46442.5 	45002.0 	43106.3 	41765.8 	42008.8 	42073.6 
de21	164379.5 p	159569.5 	157441.9 	153520.9 	148747.1 	139706.4 	133099.3 	127470.4 	126686.2 	125542.7 
de22	31757.5 p	30532.1 	30150.2 	29429.1 	28023.2 	26636.5 	26218.7 	25314.0 	25931.6 	25897.1 
