geo\time	2005 	2004 	2003 	2002 	2001 	2000 	1999 
be	8.4 	8.4 	8.2 	7.5 	6.6 	7.0 	8.6 
be10	16.3 	15.7 	15.6 	14.5 	12.9 	13.9 	15.8 
be21	6.2 	6.0 	6.4 	5.6 	4.3 	4.8 	5.9 
be22	7.1 	6.5 	6.8 	5.3 	4.3 	4.9 	6.0 
be23	4.9 	5.2 	5.5 	5.5 	3.8 	4.5 	5.8 
be24	4.4 	5.0 	5.6 	4.0 	3.7 	3.6 	4.4 
be25	4.7 	4.5 	4.2 	3.8 	3.5 	3.6 	4.5 
be31	9.0 	7.7 	7.9 	7.0 	5.9 	6.9 	7.1 
be32	14.0 	13.8 	12.6 	12.6 	11.9 	12.0 	16.1 
be33	11.9 	13.3 	11.2 	10.7 	10.4 	10.2 	12.4 
be34	7.9 	8.1 	6.7 	6.5 	6.2 	6.8 	6.9 
be35	10.4 	9.7 	9.5 	9.4 	8.9 	10.3 	10.8 
bg	10.1 	12.0 	13.7 	18.2 	20.3 	16.9 	15.7 
bg41	7.6 	9.4 	11.3 	13.3 	15.2 	10.9 	10.4 
cz	7.9 	8.3 	7.8 	7.3 	8.2 	8.8 	8.8 
cz01	3.5 	3.8 	4.2 	3.6 	3.9 	4.2 	4.0 
cz02	5.2 	5.4 	5.2 	5.0 	6.7 	7.5 	8.0 
cz03	5.1 	5.8 	5.3 	4.8 	5.7 	6.1 	6.5 
cz04	13.5 	13.1 	11.2 	11.4 	11.8 	14.0 	13.5 
cz05	5.6 	6.7 	6.5 	5.4 	6.2 	6.9 	7.7 
cz06	7.7 	7.9 	7.2 	6.8 	7.8 	7.8 	8.3 
cz07	9.7 	9.8 	8.7 	8.8 	9.5 	10.6 	9.7 
cz08	13.9 	14.6 	14.8 	13.4 	14.4 	14.5 	13.1 
dk	4.8 	5.5 	5.4 	4.6 	4.6 	4.6 	5.6 
dk00	4.8 	5.5 	5.4 	4.6 	4.6 	4.6 	5.6 
de	11.2 	10.3 	9.9 	8.7 	7.8 	7.8 	8.4 
de11	7.3 	6.5 	5.9 	4.5 	3.7 	3.9 	4.9 
de12	7.6 	6.8 	6.2 	5.1 	4.4 	4.6 	5.8 
de13	6.4 	6.1 	5.4 	4.3 	3.8 	4.2 	5.0 
de14	6.8 	6.0 	5.6 	4.4 	3.6 	3.6 	4.5 
de21	5.8 	4.9 	5.0 	3.8 	2.9 	3.1 	3.8 
de22	6.5 	5.4 	6.0 	5.0 	3.9 	3.8 	4.6 
de23	6.5 	6.2 	6.6 	5.4 	4.8 	4.7 	4.6 
de24	10.3 	9.2 	8.9 	7.4 	5.6 	5.2 	6.0 
de25	8.7 	8.1 	7.5 	6.0 	4.9 	5.4 	6.3 
de26	8.2 	7.1 	6.5 	5.5 	4.5 	4.5 	5.9 
de27	6.5 	6.4 	6.0 	4.4 	3.8 	3.9 	4.4 
de30	19.4 	18.4 	17.9 	15.9 	15.0 	14.1 	14.8 
de41	19.9 	: 	: 	: 	: 	: 	: 
de42	16.8 	: 	: 	: 	: 	: 	: 
de50	16.6 	14.3 	11.9 	10.2 	8.9 	9.5 	11.0 
de60	10.5 	10.3 	9.7 	8.3 	7.1 	7.4 	8.1 
de71	8.2 	7.7 	7.0 	5.6 	5.1 	5.1 	6.4 
de72	9.0 	8.3 	7.6 	5.8 	5.3 	6.2 	7.2 
de73	9.3 	7.3 	7.7 	7.3 	7.0 	6.8 	7.9 
de80	21.4 	21.2 	20.4 	19.0 	18.1 	16.5 	16.7 
de91	11.6 	10.2 	10.0 	9.2 	8.2 	7.4 	8.3 
de92	10.5 	9.6 	8.3 	7.4 	6.7 	7.1 	7.7 
de93	9.7 	8.5 	8.0 	6.7 	6.0 	6.1 	6.3 
de94	10.2 	8.6 	8.3 	6.9 	5.7 	5.6 	6.1 
dea1	10.7 	9.7 	9.1 	7.6 	6.3 	6.5 	7.3 
dea2	9.5 	8.1 	8.0 	6.7 	5.8 	5.8 	6.5 
dea3	9.5 	8.6 	8.6 	7.2 	6.0 	5.4 	6.9 
dea4	10.2 	9.2 	8.3 	7.5 	6.1 	5.6 	6.1 
dea5	12.2 	10.6 	10.0 	8.3 	7.2 	7.4 	8.0 
deb1	8.8 	7.2 	6.8 	5.9 	5.5 	5.4 	5.8 
deb2	7.3 	5.7 	5.3 	4.7 	4.3 	4.3 	5.3 
deb3	9.3 	6.8 	6.5 	5.9 	5.2 	5.9 	6.1 
dec0	10.8 	8.5 	8.4 	7.6 	6.3 	6.8 	7.1 
ded1	17.8 	18.2 	17.7 	17.0 	16.3 	15.3 	15.4 
ded2	18.3 	17.7 	17.0 	17.0 	17.1 	15.8 	15.4 
ded3	20.5 	19.3 	19.5 	18.8 	17.4 	16.6 	15.4 
dee1	21.3 	22.9 	21.8 	20.5 	20.5 	20.0 	20.2 
dee2	22.3 	23.4 	21.9 	21.2 	21.5 	21.1 	21.1 
dee3	18.7 	19.9 	18.2 	16.7 	17.1 	18.4 	18.9 
def0	10.3 	8.9 	8.8 	7.8 	6.7 	6.4 	7.3 
deg0	17.2 	15.3 	16.1 	15.0 	13.8 	13.5 	13.9 
